CROPS,Seasons,MIN.TEMP,MAX TEMP,MINWATERCON,MAXWATECON,,,
RICE,summer,15,27,100,150,,,
wheat,summer,12,25,25,75,,,
maize,summer,15,27,65,125,,,
millets,summer,20,35,25,75,,,
bajra(pearl millet),summer,25,35,25,60,,,
pulses(kharif),winter,20,27,25,60,,,
lentil(rabi),winter,15,25,25,50,,,
oilseeds,winter,15,30,30,50,,,
groundnut,winter,20,30,50,75,,, 
sugarcane,autumn,20,35,85,165,,,
sugarbeet,autumn,10,25,25,50,,,
cotton,autumn,18,27,60,110,,,
tea,autumn,15,35,100,250,,,
coffee,autumn,15,28,125,225,,,
cocoa,monsoon,18,35,100,250,,,
rubber,monsoon,27,27,150,250,,,
jute,monsoon,25,35,150,250,,,
coconut,monsoon,27,27,100,600,,,
flax,spring,10,20,15,20,,,
oilpalm,spring,27,33,250,400,,,
clove,spring,25,35,200,250,,,
black pepper,spring,15,40,200,400,,,
cardamom,spring,10,35,150,400,,,
turmeric,spring,20,30,150,250,,,
